Date;title;category;account;amount;type;;;;;;;
11/08/2024;Karthik;Bills & Fees;Savings Bank;45000;EXPENSE;;;;;;;
10/08/2024;Juice;Food & Drinks;Cash;40000;EXPENSE;;;;;;;
09/08/2024;Tire;Transport;Cash;10000;EXPENSE;;;;;;;
07/08/2024;Baba;Bills & Fees;Savings Bank;200000;EXPENSE;;;;;;;
04/08/2024;Reward;Bills & Fees;Salary Bank;4000;INCOME;;;;;;;
04/08/2024;Baba;Bills & Fees;Savings Bank;500000;EXPENSE;;;;;;;
02/08/2024;Grocery;Bills & Fees;Salary Bank;30000;EXPENSE;;;;;;;
02/08/2024;Petrol;Transport;Savings Bank;100000;EXPENSE;;;;;;;
02/08/2024;Adjust balance;Transport;Cash;74000;EXPENSE;;;;;;;
02/08/2024;Adjust balance;Transport;Savings Bank;102000;EXPENSE;;;;;;;
01/08/2024;Haircut;Bills & Fees;Savings Bank;152000;EXPENSE;;;;;;;
01/08/2024;Baba;Bills & Fees;Savings Bank;500000;EXPENSE;;;;;;;
31/07/2024;Print;Bills & Fees;Savings Bank;22000;EXPENSE;;;;;;;
31/07/2024;License;Bills & Fees;Savings Bank;300000;EXPENSE;;;;;;;
26/07/2024;Noodles;Food & Drinks;Savings Bank;70000;EXPENSE;;;;;;;
20/07/2024;Adjust balance;Transport;Savings Bank;0;INCOME;;;;;;;
20/07/2024;Breakfast;Food & Drinks;Cash;30000;EXPENSE;;;;;;;
20/07/2024;Maa;Bills & Fees;Cash;50000;EXPENSE;;;;;;;
15/07/2024;Adjust balance;Transport;Cash;3000;EXPENSE;;;;;;;
15/07/2024;Rent;Bills & Fees;Savings Bank;35000;EXPENSE;;;;;;;
14/07/2024;Grocery;Bills & Fees;Cash;171000;EXPENSE;;;;;;;
14/07/2024;Grocery;Bills & Fees;Cash;90000;EXPENSE;;;;;;;
12/07/2024;Adjust balance;Transport;Salary Bank;41000;INCOME;;;;;;;
12/07/2024;Baba;Bills & Fees;Savings Bank;300000;EXPENSE;;;;;;;
12/07/2024;Adjust balance;Transport;Cash;50000;EXPENSE;;;;;;;
12/07/2024;;Transport;Savings Bank;50000;EXPENSE;;;;;;;
10/07/2024;Maa;Bills & Fees;Cash;50000;EXPENSE;;;;;;;
10/07/2024;Breakfast;Food & Drinks;Cash;30000;EXPENSE;;;;;;;
07/07/2024;Breakfast;Food & Drinks;Salary Bank;30000;EXPENSE;;;;;;;
03/07/2024;Netflix;Bills & Fees;Savings Bank;199000;EXPENSE;;;;;;;
03/07/2024;Baba;Bills & Fees;Savings Bank;200000;EXPENSE;;;;;;;
02/07/2024;Lunch;Food & Drinks;Cash;120000;EXPENSE;;;;;;;
01/07/2024;Baba;Bills & Fees;Savings Bank;500000;EXPENSE;;;;;;;
01/07/2024;Recharge;Bills & Fees;Savings Bank;259000;EXPENSE;;;;;;;
01/07/2024;Printouts;Bills & Fees;Salary Bank;13000;EXPENSE;;;;;;;
