amount,year,month,day,category_Bills & Fees,category_Food & Drinks,category_Transport,account_Cash,account_Metro Card,account_Salary Bank,account_Savings Bank,type_EXPENSE,type_INCOME,type_TRANSFER,Cluster,Label
4000.0,2024,8,4,True,False,False,False,False,True,False,False,True,False,0,1
0.0,2024,7,20,False,False,True,False,False,False,True,False,True,False,1,0
41000.0,2024,7,12,False,False,True,False,False,True,False,False,True,False,1,0
71000.0,2024,6,30,False,False,True,False,False,False,True,False,True,False,1,0
35000.0,2024,6,17,True,False,False,False,False,True,False,False,True,False,0,1
100000.0,2024,6,14,True,False,False,True,False,False,False,False,True,False,0,1
200000.0,2024,6,7,True,False,False,False,False,True,False,False,True,False,0,1
100000.0,2024,6,7,True,False,False,True,False,False,False,False,True,False,0,1
35000.0,2024,6,5,True,False,False,False,False,True,False,False,True,False,0,1
200000.0,2024,6,5,True,False,False,False,False,True,False,False,True,False,0,1
70000.0,2024,6,5,True,False,False,False,False,True,False,False,True,False,0,1
11000.0,2024,5,29,True,False,False,False,False,True,False,False,True,False,0,1
80000.0,2024,5,6,False,False,True,False,False,True,False,False,True,False,1,0
35000.0,2024,4,30,True,False,False,False,False,True,False,False,True,False,0,1
100000.0,2024,4,27,True,False,False,False,False,True,False,False,True,False,0,1
300000.0,2024,4,27,True,False,False,False,False,True,False,False,True,False,0,1
44020.0,2024,4,22,False,False,True,False,False,False,True,False,True,False,1,0
30000.0,2024,4,22,True,False,False,True,False,False,False,False,True,False,0,1
89520.0,2024,4,20,True,False,False,False,False,True,False,False,True,False,0,1
761440.0,2024,4,4,True,False,False,False,False,True,False,False,True,False,0,1
35000.0,2024,4,3,True,False,False,False,False,True,False,False,True,False,0,1
60000.0,2024,4,2,True,False,False,True,False,False,False,False,True,False,0,1
100000.0,2024,4,1,True,False,False,True,False,False,False,False,True,False,0,1
35000.0,2024,3,28,True,False,False,False,False,True,False,False,True,False,0,1
35000.0,2024,3,21,True,False,False,False,False,True,False,False,True,False,0,1
5530.0,2024,3,6,False,False,True,False,False,False,True,False,True,False,1,0
35000.0,2024,2,29,False,False,True,False,False,True,False,False,True,False,1,0
0.0,2024,2,29,False,False,True,False,False,False,True,False,True,False,1,0
940000.0,2024,2,26,False,False,True,False,False,False,True,False,True,False,1,0
130000.0,2024,2,17,False,False,True,False,False,False,True,False,True,False,1,0
2000.0,2024,2,12,False,False,True,False,True,False,False,False,True,False,1,0
2000.0,2024,2,9,False,False,True,False,False,False,True,False,True,False,1,0
4450.0,2024,2,3,True,False,False,False,False,False,True,False,True,False,0,1
100000.0,2024,1,31,True,False,False,False,False,False,True,False,True,False,0,1
35000.0,2024,1,31,True,False,False,False,False,False,True,False,True,False,0,1
200000.0,2024,1,30,True,False,False,False,False,False,True,False,True,False,0,1
100000.0,2024,1,29,True,False,False,False,False,False,True,False,True,False,0,1
26000.0,2024,1,27,False,False,True,True,False,False,False,False,True,False,1,0
16000.0,2024,1,11,False,False,True,True,False,False,False,False,True,False,1,0
200000.0,2024,1,9,True,False,False,False,False,False,True,False,True,False,0,1
30000.0,2023,12,29,True,False,False,False,False,False,True,False,True,False,0,1
35000.0,2023,12,28,True,False,False,False,False,False,True,False,True,False,0,1
30000.0,2023,12,25,False,False,True,False,False,False,True,False,True,False,1,0
200000.0,2023,12,22,True,False,False,True,False,False,False,False,True,False,0,1
700000.0,2023,12,22,True,False,False,False,False,False,True,False,True,False,0,1
170560.0,2023,12,22,True,False,False,False,False,False,True,False,True,False,0,1
40000.0,2023,12,22,False,True,False,False,False,False,True,False,True,False,0,1
83660.0,2023,12,21,True,False,False,False,False,False,True,False,True,False,0,1
3000.0,2023,12,19,True,False,False,False,False,False,True,False,True,False,0,1
300000.0,2023,12,18,False,False,True,True,False,False,False,False,True,False,1,0
2000.0,2023,12,18,False,False,True,False,False,False,True,False,True,False,1,0
30000.0,2023,12,15,False,True,False,True,False,False,False,False,True,False,0,1
40000.0,2023,12,15,False,True,False,False,False,False,True,False,True,False,0,1
25000.0,2023,12,9,True,False,False,False,False,False,True,False,True,False,0,1
95000.0,2023,12,8,False,False,True,True,False,False,False,False,True,False,1,0
80000.0,2023,12,6,False,False,True,True,False,False,False,False,True,False,1,0
220000.0,2023,12,1,True,False,False,False,False,False,True,False,True,False,0,1
35000.0,2023,11,29,False,False,True,False,False,False,True,False,True,False,1,0
20000.0,2023,11,19,False,False,True,True,False,False,False,False,True,False,1,0
13200.0,2023,11,14,False,False,True,False,False,False,True,False,True,False,1,0
35000.0,2023,11,3,True,False,False,False,False,False,True,False,True,False,0,1
35000.0,2023,10,31,True,False,False,False,False,False,True,False,True,False,0,1
600000.0,2023,10,25,True,False,False,False,False,False,True,False,True,False,0,1
200000.0,2023,10,24,True,False,False,False,False,False,True,False,True,False,0,1
60000.0,2023,10,22,True,False,False,False,False,False,True,False,True,False,0,1
20000.0,2023,10,18,False,False,True,False,False,False,True,False,True,False,1,0
35000.0,2023,10,16,True,False,False,False,False,False,True,False,True,False,0,1
8000.0,2023,10,15,False,False,True,True,False,False,False,False,True,False,1,0
90000.0,2023,10,5,True,False,False,True,False,False,False,False,True,False,0,1
3000.0,2023,9,25,True,False,False,False,False,False,True,False,True,False,0,1
35000.0,2023,9,21,False,False,True,False,False,False,True,False,True,False,1,0
30000.0,2023,9,15,False,True,False,False,False,False,True,False,True,False,0,1
35000.0,2023,9,6,False,False,True,False,False,False,True,False,True,False,1,0
50000.0,2023,8,21,True,False,False,True,False,False,False,False,True,False,0,1
600000.0,2023,8,18,True,False,False,True,False,False,False,False,True,False,0,1
50000.0,2023,8,16,True,False,False,False,False,False,True,False,True,False,0,1
200000.0,2023,8,10,False,False,True,True,False,False,False,False,True,False,1,0
100000.0,2023,7,24,False,False,True,True,False,False,False,False,True,False,1,0
35000.0,2023,7,18,False,False,True,False,False,False,True,False,True,False,1,0
210000.0,2023,7,4,False,False,True,True,False,False,False,False,True,False,1,0
84000.0,2023,7,4,False,False,True,False,False,False,True,False,True,False,1,0
35000.0,2023,6,10,True,False,False,False,False,False,True,False,True,False,0,1
3000.0,2023,6,9,False,False,True,True,False,False,False,False,True,False,1,0
7000.0,2023,5,28,False,False,True,True,False,False,False,False,True,False,1,0
153000.0,2023,5,28,False,False,True,True,False,False,False,False,True,False,1,0
150000.0,2023,5,20,False,False,True,False,False,False,True,False,True,False,1,0
35000.0,2023,5,20,False,False,True,False,False,False,True,False,True,False,1,0
30000.0,2023,5,14,False,False,True,True,False,False,False,False,True,False,1,0
35000.0,2023,5,13,False,False,True,False,False,False,True,False,True,False,1,0
40000.0,2023,5,9,False,False,True,True,False,False,False,False,True,False,1,0
50430.0,2023,5,5,True,False,False,False,False,False,True,False,True,False,0,1
40000.0,2023,5,5,False,True,False,True,False,False,False,False,True,False,0,1
10000.0,2023,5,2,False,False,True,True,False,False,False,False,True,False,1,0
100000.0,2023,4,28,True,False,False,True,False,False,False,False,True,False,0,1
35000.0,2023,4,26,False,False,True,False,False,False,True,False,True,False,1,0
200000.0,2023,4,26,True,False,False,False,True,False,False,False,True,False,0,1
130640.0,2023,4,25,True,False,False,False,False,False,True,False,True,False,0,1
35000.0,2023,4,22,True,False,False,False,False,False,True,False,True,False,0,1
7000.0,2023,4,22,False,False,True,True,False,False,False,False,True,False,1,0
300000.0,2023,4,22,False,False,True,False,False,False,True,False,True,False,1,0
139000.0,2023,4,22,False,False,True,False,True,False,False,False,True,False,1,0
35000.0,2023,4,22,False,False,True,False,False,False,True,False,True,False,1,0
250000.0,2023,4,22,False,False,True,True,False,False,False,False,True,False,1,0
