amount,year,month,day,category_Bills & Fees,category_Food & Drinks,category_Transport,account_Cash,account_Metro Card,account_Salary Bank,account_Savings Bank,type_EXPENSE,type_INCOME,type_TRANSFER,Cluster,Label,Label_Pred,Status
45000.0,2024,8,11,True,False,False,False,False,False,True,True,False,False,0,0,0,Normal
40000.0,2024,8,10,False,True,False,True,False,False,False,True,False,False,1,1,1,Anomali
10000.0,2024,8,9,False,False,True,True,False,False,False,True,False,False,0,0,0,Normal
200000.0,2024,8,7,True,False,False,False,False,False,True,True,False,False,1,1,1,Anomali
500000.0,2024,8,4,True,False,False,False,False,False,True,True,False,False,1,1,1,Anomali
30000.0,2024,8,2,True,False,False,False,False,True,False,True,False,False,1,1,1,Anomali
100000.0,2024,8,2,False,False,True,False,False,False,True,True,False,False,0,0,0,Normal
74000.0,2024,8,2,False,False,True,True,False,False,False,True,False,False,0,0,0,Normal
102000.0,2024,8,2,False,False,True,False,False,False,True,True,False,False,0,0,0,Normal
152000.0,2024,8,1,True,False,False,False,False,False,True,True,False,False,0,0,0,Normal
500000.0,2024,8,1,True,False,False,False,False,False,True,True,False,False,1,1,1,Anomali
22000.0,2024,7,31,True,False,False,False,False,False,True,True,False,False,1,1,1,Anomali
300000.0,2024,7,31,True,False,False,False,False,False,True,True,False,False,1,1,1,Anomali
70000.0,2024,7,26,False,True,False,False,False,False,True,True,False,False,1,1,1,Anomali
30000.0,2024,7,20,False,True,False,True,False,False,False,True,False,False,1,1,1,Anomali
50000.0,2024,7,20,True,False,False,True,False,False,False,True,False,False,0,0,0,Normal
3000.0,2024,7,15,False,False,True,True,False,False,False,True,False,False,0,0,0,Normal
35000.0,2024,7,15,True,False,False,False,False,False,True,True,False,False,1,1,1,Anomali
171000.0,2024,7,14,True,False,False,True,False,False,False,True,False,False,0,0,0,Normal
90000.0,2024,7,14,True,False,False,True,False,False,False,True,False,False,0,0,0,Normal
300000.0,2024,7,12,True,False,False,False,False,False,True,True,False,False,1,1,1,Anomali
50000.0,2024,7,12,False,False,True,True,False,False,False,True,False,False,0,0,0,Normal
50000.0,2024,7,12,False,False,True,False,False,False,True,True,False,False,0,0,0,Normal
50000.0,2024,7,10,True,False,False,True,False,False,False,True,False,False,0,0,0,Normal
30000.0,2024,7,10,False,True,False,True,False,False,False,True,False,False,1,1,1,Anomali
30000.0,2024,7,7,False,True,False,False,False,True,False,True,False,False,1,1,1,Anomali
199000.0,2024,7,3,True,False,False,False,False,False,True,True,False,False,1,1,1,Anomali
200000.0,2024,7,3,True,False,False,False,False,False,True,True,False,False,1,1,1,Anomali
120000.0,2024,7,2,False,True,False,True,False,False,False,True,False,False,1,1,1,Anomali
500000.0,2024,7,1,True,False,False,False,False,False,True,True,False,False,1,1,1,Anomali
259000.0,2024,7,1,True,False,False,False,False,False,True,True,False,False,1,1,1,Anomali
13000.0,2024,7,1,True,False,False,False,False,True,False,True,False,False,1,1,1,Anomali
42000.0,2024,7,1,True,False,False,True,False,False,False,True,False,False,0,0,0,Normal
520000.0,2024,6,30,False,True,False,False,False,False,True,True,False,False,1,1,1,Anomali
60000.0,2024,6,30,False,True,False,False,False,True,False,True,False,False,1,1,1,Anomali
35000.0,2024,6,30,True,False,False,False,False,False,True,True,False,False,1,1,1,Anomali
20000.0,2024,6,29,False,True,False,True,False,False,False,True,False,False,1,1,1,Anomali
180000.0,2024,6,29,False,False,True,True,False,False,False,True,False,False,0,0,0,Normal
30000.0,2024,6,29,False,True,False,True,False,False,False,True,False,False,1,1,1,Anomali
20000.0,2024,6,29,False,True,False,True,False,False,False,True,False,False,1,1,1,Anomali
266900.0,2024,6,29,True,False,False,False,False,False,True,True,False,False,1,1,1,Anomali
25000.0,2024,6,28,False,True,False,True,False,False,False,True,False,False,1,1,1,Anomali
