amount,year_month,year,month,day,category_Bills & Fees,category_Food & Drinks,category_Transport,account_Cash,account_Metro Card,account_Salary Bank,account_Savings Bank,type_EXPENSE,type_INCOME,type_TRANSFER
45000.0,2024-08,2024,8,11,True,False,False,False,False,False,True,True,False,False
40000.0,2024-08,2024,8,10,False,True,False,True,False,False,False,True,False,False
10000.0,2024-08,2024,8,9,False,False,True,True,False,False,False,True,False,False
200000.0,2024-08,2024,8,7,True,False,False,False,False,False,True,True,False,False
4000.0,2024-08,2024,8,4,True,False,False,False,False,True,False,False,True,False
500000.0,2024-08,2024,8,4,True,False,False,False,False,False,True,True,False,False
30000.0,2024-08,2024,8,2,True,False,False,False,False,True,False,True,False,False
100000.0,2024-08,2024,8,2,False,False,True,False,False,False,True,True,False,False
74000.0,2024-08,2024,8,2,False,False,True,True,False,False,False,True,False,False
102000.0,2024-08,2024,8,2,False,False,True,False,False,False,True,True,False,False
152000.0,2024-08,2024,8,1,True,False,False,False,False,False,True,True,False,False
500000.0,2024-08,2024,8,1,True,False,False,False,False,False,True,True,False,False
22000.0,2024-07,2024,7,31,True,False,False,False,False,False,True,True,False,False
300000.0,2024-07,2024,7,31,True,False,False,False,False,False,True,True,False,False
70000.0,2024-07,2024,7,26,False,True,False,False,False,False,True,True,False,False
0.0,2024-07,2024,7,20,False,False,True,False,False,False,True,False,True,False
30000.0,2024-07,2024,7,20,False,True,False,True,False,False,False,True,False,False
50000.0,2024-07,2024,7,20,True,False,False,True,False,False,False,True,False,False
3000.0,2024-07,2024,7,15,False,False,True,True,False,False,False,True,False,False
35000.0,2024-07,2024,7,15,True,False,False,False,False,False,True,True,False,False
171000.0,2024-07,2024,7,14,True,False,False,True,False,False,False,True,False,False
90000.0,2024-07,2024,7,14,True,False,False,True,False,False,False,True,False,False
41000.0,2024-07,2024,7,12,False,False,True,False,False,True,False,False,True,False
300000.0,2024-07,2024,7,12,True,False,False,False,False,False,True,True,False,False
50000.0,2024-07,2024,7,12,False,False,True,True,False,False,False,True,False,False
50000.0,2024-07,2024,7,12,False,False,True,False,False,False,True,True,False,False
50000.0,2024-07,2024,7,10,True,False,False,True,False,False,False,True,False,False
30000.0,2024-07,2024,7,10,False,True,False,True,False,False,False,True,False,False
30000.0,2024-07,2024,7,7,False,True,False,False,False,True,False,True,False,False
199000.0,2024-07,2024,7,3,True,False,False,False,False,False,True,True,False,False
200000.0,2024-07,2024,7,3,True,False,False,False,False,False,True,True,False,False
120000.0,2024-07,2024,7,2,False,True,False,True,False,False,False,True,False,False
500000.0,2024-07,2024,7,1,True,False,False,False,False,False,True,True,False,False
259000.0,2024-07,2024,7,1,True,False,False,False,False,False,True,True,False,False
13000.0,2024-07,2024,7,1,True,False,False,False,False,True,False,True,False,False
42000.0,2024-07,2024,7,1,True,False,False,True,False,False,False,True,False,False
